callID, phoneNumber, Line, destPhoneNumber, startDate, endDate, startTime, endTime, Type, Cost
0,01650333333,1,08450927777,03/01/2014,03/01/2014,11:00:00,11:09:00,National,72.0
1,01650333333,1,01657777772,22/01/2014,22/01/2014,18:30:00,18:43:00,Local,52.0
2,01650333333,1,01657777772,27/01/2014,27/01/2014,15:10:00,15:37:00,Local,27.0
3,01650333333,0,08450927777,05/02/2014,05/02/2014,19:55:00,20:07:00,National,96.0
4,01650333333,1,01657777777,18/02/2014,18/02/2014,14:35:00,14:52:00,Local,68.0
5,01650333333,0,01657777777,17/02/2014,17/02/2014,16:55:00,17:30:00,Local,35.0
6,01650333333,0,01657777777,04/01/2014,04/01/2014,19:25:00,19:42:00,Local,68.0
7,01650333333,0,01657777777,05/01/2014,05/01/2014,13:35:00,14:10:00,Local,35.0
8,01650333333,1,08450927777,17/01/2014,17/01/2014,16:35:00,16:47:00,National,96.0
9,01650333333,0,07739000000,10/01/2014,10/01/2014,16:45:00,16:54:00,Mobile,225.0
10,01650333333,1,01657777777,23/02/2014,23/02/2014,14:35:00,15:02:00,Local,27.0
11,01650333333,1,01657777777,27/01/2014,27/01/2014,12:40:00,13:07:00,Local,27.0
12,01650333333,1,01657777777,20/02/2014,20/02/2014,15:10:00,15:23:00,Local,52.0
13,01650333333,0,01657777777,26/01/2014,26/01/2014,19:10:00,19:37:00,Local,27.0
14,01650333333,1,01657777777,26/01/2014,26/01/2014,20:25:00,20:49:00,Local,24.0
15,01650333333,0,07739000000,24/01/2014,24/01/2014,00:20:00,00:23:00,Mobile,75.0
16,01650333333,1,64000000000,28/01/2014,28/01/2014,21:50:00,22:03:00,Intl,390.0
17,01650333333,0,08450927777,09/01/2014,09/01/2014,19:45:00,19:51:00,National,48.0
18,01650333333,0,01657777777,29/01/2014,29/01/2014,22:05:00,22:16:00,Local,44.0
19,01650333333,0,01657777777,09/01/2014,09/01/2014,21:20:00,21:31:00,Local,44.0
20,01650333333,0,07739000000,23/01/2014,23/01/2014,20:00:00,20:03:00,Mobile,75.0
21,01650333333,1,01657777777,04/02/2014,04/02/2014,20:00:00,20:21:00,Local,84.0
22,01650333333,0,01657777772,05/01/2014,05/01/2014,19:05:00,19:49:00,Local,44.0
23,01650333333,0,01657777772,17/02/2014,17/02/2014,18:15:00,18:59:00,Local,44.0
24,01650333333,0,01657777772,16/02/2014,16/02/2014,17:55:00,18:39:00,Local,44.0
25,01650333333,0,01657777772,18/01/2014,18/01/2014,16:55:00,17:16:00,Local,84.0
26,01650333333,0,01657777772,18/01/2014,18/01/2014,18:30:00,18:51:00,Local,84.0
27,01650333333,0,01657777772,07/01/2014,07/01/2014,00:10:00,00:28:00,Local,72.0
28,01650333333,0,01657777777,31/01/2014,31/01/2014,18:20:00,18:38:00,Local,72.0
29,01650333333,1,01657777777,10/02/2014,10/02/2014,19:40:00,20:17:00,Local,37.0
